A,EstadoA,B,EstadoB
GUARAÍTA,GO,ITAPURANGA,GO
GUARANI DE GOIÁS,GO,IACIARA,GO
GUARANI DE GOIÁS,GO,POSSE,GO
GUARANI DE GOIÁS,GO,SÃO DOMINGOS,GO
GUARINOS,GO,ITAPACI,GO
GUARINOS,GO,PILAR DE GOIÁS,GO
GUARINOS,GO,SANTA TEREZINHA DE GOIÁS,GO
HEITORAÍ,GO,ITABERAÍ,GO
HEITORAÍ,GO,ITAPURANGA,GO
HEITORAÍ,GO,URUANA,GO
HIDROLÂNDIA,GO,MAIRIPOTABA,GO
HIDROLÂNDIA,GO,PIRACANJUBA,GO
HIDROLÂNDIA,GO,PROFESSOR JAMIL,GO
HIDROLÂNDIA,GO,VARJÃO,GO
HIDROLINA,GO,ITAPACI,GO
HIDROLINA,GO,PILAR DE GOIÁS,GO
HIDROLINA,GO,SANTA RITA DO NOVO DESTINO,GO
HIDROLINA,GO,SÃO LUÍZ DO NORTE,GO
HIDROLINA,GO,URUAÇU,GO
IACIARA,GO,NOVA ROMA,GO
IACIARA,GO,POSSE,GO
IACIARA,GO,SÃO DOMINGOS,GO
INACIOLÂNDIA,GO,ITUMBIARA,GO
INACIOLÂNDIA,GO,IPIAÇU,MG
INDIARA,GO,JANDAIA,GO
INDIARA,GO,PALMEIRAS DE GOIÁS,GO
INHUMAS,GO,ITAUÇU,GO
INHUMAS,GO,PETROLINA DE GOIÁS,GO
IPAMERI,GO,LUZIÂNIA,GO
IPAMERI,GO,NOVA AURORA,GO
IPAMERI,GO,ORIZONA,GO
IPAMERI,GO,PIRES DO RIO,GO
IPAMERI,GO,URUTAÍ,GO
IPIRANGA DE GOIÁS,GO,ITAPACI,GO
IPIRANGA DE GOIÁS,GO,NOVA GLÓRIA,GO
IPIRANGA DE GOIÁS,GO,RUBIATABA,GO
IPORÁ,GO,ISRAELÂNDIA,GO
IPORÁ,GO,IVOLÂNDIA,GO
IPORÁ,GO,JAUPACI,GO
IPORÁ,GO,MOIPORÁ,GO
ISRAELÂNDIA,GO,JAUPACI,GO
ISRAELÂNDIA,GO,MOIPORÁ,GO
ITABERAÍ,GO,ITAGUARI,GO
ITABERAÍ,GO,ITAGUARU,GO
ITABERAÍ,GO,ITAUÇU,GO
ITABERAÍ,GO,MOSSÂMEDES,GO
ITABERAÍ,GO,TAQUARAL DE GOIÁS,GO
ITABERAÍ,GO,URUANA,GO
ITAGUARI,GO,ITAGUARU,GO
ITAGUARI,GO,JARAGUÁ,GO
ITAGUARI,GO,TAQUARAL DE GOIÁS,GO
ITAGUARU,GO,JARAGUÁ,GO
ITAGUARU,GO,URUANA,GO
ITAJÁ,GO,ITARUMÃ,GO
ITAJÁ,GO,LAGOA SANTA,GO
ITAJÁ,GO,CARNEIRINHO,MG
ITAJÁ,GO,LIMEIRA DO OESTE,MG
ITAJÁ,GO,CASSILÂNDIA,MS
ITAJÁ,GO,PARANAÍBA,MS
ITAPACI,GO,NOVA AMÉRICA,GO
ITAPACI,GO,NOVA GLÓRIA,GO
ITAPACI,GO,PILAR DE GOIÁS,GO
ITAPACI,GO,RUBIATABA,GO
ITAPACI,GO,SÃO LUÍZ DO NORTE,GO
ITAPIRAPUÃ,GO,JUSSARA,GO
ITAPIRAPUÃ,GO,MATRINCHÃ,GO
ITAPIRAPUÃ,GO,NOVO BRASIL,GO
ITAPIRAPUÃ,GO,SANTA FÉ DE GOIÁS,GO
ITAPURANGA,GO,MORRO AGUDO DE GOIÁS,GO
ITAPURANGA,GO,SÃO PATRÍCIO,GO
ITAPURANGA,GO,URUANA,GO
ITARUMÃ,GO,JATAÍ,GO
ITARUMÃ,GO,SERRANÓPOLIS,GO
ITARUMÃ,GO,LIMEIRA DO OESTE,MG
ITAUÇU,GO,PETROLINA DE GOIÁS,GO
ITAUÇU,GO,SANTA ROSA DE GOIÁS,GO
ITAUÇU,GO,TAQUARAL DE GOIÁS,GO
ITUMBIARA,GO,PANAMÁ,GO
ITUMBIARA,GO,ARAPORÃ,MG
ITUMBIARA,GO,CACHOEIRA DOURADA,MG
ITUMBIARA,GO,CANÁPOLIS,MG
IVOLÂNDIA,GO,MOIPORÁ,GO
IVOLÂNDIA,GO,MONTIVIDIU,GO
IVOLÂNDIA,GO,PALESTINA DE GOIÁS,GO
IVOLÂNDIA,GO,PARAÚNA,GO
JANDAIA,GO,PALMEIRAS DE GOIÁS,GO
JANDAIA,GO,PALMINÓPOLIS,GO
JANDAIA,GO,PARAÚNA,GO
JARAGUÁ,GO,JESÚPOLIS,GO
JARAGUÁ,GO,PIRENÓPOLIS,GO
JARAGUÁ,GO,RIANÁPOLIS,GO
JARAGUÁ,GO,SANTA ISABEL,GO
JARAGUÁ,GO,SANTA ROSA DE GOIÁS,GO
JARAGUÁ,GO,SÃO FRANCISCO DE GOIÁS,GO
JARAGUÁ,GO,TAQUARAL DE GOIÁS,GO
JARAGUÁ,GO,URUANA,GO
JATAÍ,GO,PEROLÂNDIA,GO
JATAÍ,GO,RIO VERDE,GO
JATAÍ,GO,SERRANÓPOLIS,GO
JAUPACI,GO,MONTES CLAROS DE GOIÁS,GO
JESÚPOLIS,GO,PETROLINA DE GOIÁS,GO
JESÚPOLIS,GO,SANTA ROSA DE GOIÁS,GO
JESÚPOLIS,GO,SÃO FRANCISCO DE GOIÁS,GO
JOVIÂNIA,GO,MORRINHOS,GO
JOVIÂNIA,GO,PONTALINA,GO
JOVIÂNIA,GO,VICENTINÓPOLIS,GO
JUSSARA,GO,MONTES CLAROS DE GOIÁS,GO
JUSSARA,GO,NOVO BRASIL,GO
JUSSARA,GO,SANTA FÉ DE GOIÁS,GO
JUSSARA,GO,ARAGUAIANA,MT
LAGOA SANTA,GO,PARANAÍBA,MS
LEOPOLDO DE BULHÕES,GO,SILVÂNIA,GO
LUZIÂNIA,GO,NOVO GAMA,GO
LUZIÂNIA,GO,ORIZONA,GO
LUZIÂNIA,GO,SANTO ANTÔNIO DO DESCOBERTO,GO
LUZIÂNIA,GO,SILVÂNIA,GO
LUZIÂNIA,GO,VALPARAÍSO DE GOIÁS,GO
MAIRIPOTABA,GO,MORRINHOS,GO
MAIRIPOTABA,GO,PIRACANJUBA,GO
MAIRIPOTABA,GO,PONTALINA,GO
MAIRIPOTABA,GO,PROFESSOR JAMIL,GO
MAIRIPOTABA,GO,VARJÃO,GO
MAMBAÍ,GO,POSSE,GO
MARA ROSA,GO,MUTUNÓPOLIS,GO
MARA ROSA,GO,NOVA IGUAÇU DE GOIÁS,GO
MARA ROSA,GO,SANTA TEREZINHA DE GOIÁS,GO
MARA ROSA,GO,UIRAPURU,GO
MARZAGÃO,GO,RIO QUENTE,GO
MAURILÂNDIA,GO,PORTEIRÃO,GO
MAURILÂNDIA,GO,RIO VERDE,GO
MAURILÂNDIA,GO,SANTA HELENA DE GOIÁS,GO
MAURILÂNDIA,GO,TURVELÂNDIA,GO
MIMOSO DE GOIÁS,GO,NIQUELÂNDIA,GO
MIMOSO DE GOIÁS,GO,PADRE BERNARDO,GO
MIMOSO DE GOIÁS,GO,PLANALTINA,GO
MIMOSO DE GOIÁS,GO,VILA PROPÍCIO,GO
MINAÇU,GO,MONTIVIDIU DO NORTE,GO
MINAÇU,GO,TROMBAS,GO
MINAÇU,GO,JAÚ DO TOCANTINS,TO
MINAÇU,GO,PALMEIRÓPOLIS,TO
MINEIROS,GO,COSTA RICA,MS
MONTE ALEGRE DE GOIÁS,GO,NOVA ROMA,GO
MONTE ALEGRE DE GOIÁS,GO,SÃO DOMINGOS,GO
MONTE ALEGRE DE GOIÁS,GO,TERESINA DE GOIÁS,GO
MONTE ALEGRE DE GOIÁS,GO,ARRAIAS,TO
MONTES CLAROS DE GOIÁS,GO,ARAGUAIANA,MT
MONTIVIDIU,GO,PARAÚNA,GO
MONTIVIDIU,GO,RIO VERDE,GO
MONTIVIDIU DO NORTE,GO,PORANGATU,GO
MONTIVIDIU DO NORTE,GO,TROMBAS,GO
MONTIVIDIU DO NORTE,GO,JAÚ DO TOCANTINS,TO
MORRINHOS,GO,PIRACANJUBA,GO
MORRINHOS,GO,PONTALINA,GO
MORRINHOS,GO,RIO QUENTE,GO
MORRO AGUDO DE GOIÁS,GO,RUBIATABA,GO
MORRO AGUDO DE GOIÁS,GO,SÃO PATRÍCIO,GO
MOSSÂMEDES,GO,SANCLERLÂNDIA,GO
MOZARLÂNDIA,GO,NOVA CRIXÁS,GO
MUNDO NOVO,GO,NOVA CRIXÁS,GO
MUNDO NOVO,GO,SÃO MIGUEL DO ARAGUAIA,GO
MUNDO NOVO,GO,UIRAPURU,GO
MUTUNÓPOLIS,GO,PORANGATU,GO
MUTUNÓPOLIS,GO,SANTA TEREZA DE GOIÁS,GO
NAZÁRIO,GO,PALMEIRAS DE GOIÁS,GO
NAZÁRIO,GO,SANTA BÁRBARA DE GOIÁS,GO
NAZÁRIO,GO,TURVÂNIA,GO
NERÓPOLIS,GO,NOVA VENEZA,GO
NERÓPOLIS,GO,OURO VERDE DE GOIÁS,GO
NERÓPOLIS,GO,SANTO ANTÔNIO DE GOIÁS,GO
NERÓPOLIS,GO,TEREZÓPOLIS DE GOIÁS,GO
NIQUELÂNDIA,GO,SANTA RITA DO NOVO DESTINO,GO
NIQUELÂNDIA,GO,SÃO JOÃO D'ALIANÇA,GO
NIQUELÂNDIA,GO,URUAÇU,GO
NIQUELÂNDIA,GO,VILA PROPÍCIO,GO
NOVA AMÉRICA,GO,RUBIATABA,GO
NOVA CRIXÁS,GO,SÃO MIGUEL DO ARAGUAIA,GO
NOVA CRIXÁS,GO,UIRAPURU,GO
NOVA CRIXÁS,GO,COCALINHO,MT
NOVA GLÓRIA,GO,RIALMA,GO
NOVA GLÓRIA,GO,SANTA ISABEL,GO
NOVA GLÓRIA,GO,SÃO LUÍZ DO NORTE,GO
NOVA IGUAÇU DE GOIÁS,GO,PILAR DE GOIÁS,GO
NOVA IGUAÇU DE GOIÁS,GO,URUAÇU,GO
NOVA ROMA,GO,SÃO DOMINGOS,GO
NOVA ROMA,GO,SÃO JOÃO D'ALIANÇA,GO
NOVA ROMA,GO,TERESINA DE GOIÁS,GO
NOVA VENEZA,GO,OURO VERDE DE GOIÁS,GO
NOVA VENEZA,GO,SANTO ANTÔNIO DE GOIÁS,GO
NOVO GAMA,GO,SANTO ANTÔNIO DO DESCOBERTO,GO
NOVO GAMA,GO,VALPARAÍSO DE GOIÁS,GO
NOVO PLANALTO,GO,PORANGATU,GO
NOVO PLANALTO,GO,SÃO MIGUEL DO ARAGUAIA,GO
NOVO PLANALTO,GO,ARAGUAÇU,TO
ORIZONA,GO,PIRES DO RIO,GO
ORIZONA,GO,SILVÂNIA,GO
ORIZONA,GO,URUTAÍ,GO
ORIZONA,GO,VIANÓPOLIS,GO
OURO VERDE DE GOIÁS,GO,PETROLINA DE GOIÁS,GO
OUVIDOR,GO,TRÊS RANCHOS,GO
PADRE BERNARDO,GO,PLANALTINA,GO
PADRE BERNARDO,GO,VILA PROPÍCIO,GO
PALMEIRAS DE GOIÁS,GO,PALMINÓPOLIS,GO
PALMEIRAS DE GOIÁS,GO,SANTA BÁRBARA DE GOIÁS,GO
PALMEIRAS DE GOIÁS,GO,TURVÂNIA,GO
PALMELO,GO,PIRES DO RIO,GO
PALMELO,GO,SANTA CRUZ DE GOIÁS,GO
PALMINÓPOLIS,GO,PARAÚNA,GO
PALMINÓPOLIS,GO,SÃO JOÃO DA PARAÚNA,GO
PALMINÓPOLIS,GO,TURVÂNIA,GO
PARANAIGUARA,GO,QUIRINÓPOLIS,GO
PARANAIGUARA,GO,SÃO SIMÃO,GO
PARANAIGUARA,GO,SANTA VITÓRIA,MG
PARAÚNA,GO,RIO VERDE,GO
PARAÚNA,GO,SANTO ANTÔNIO DA BARRA,GO
PARAÚNA,GO,SÃO JOÃO DA PARAÚNA,GO
PETROLINA DE GOIÁS,GO,PIRENÓPOLIS,GO
PETROLINA DE GOIÁS,GO,SANTA ROSA DE GOIÁS,GO
PETROLINA DE GOIÁS,GO,SÃO FRANCISCO DE GOIÁS,GO
PILAR DE GOIÁS,GO,SANTA TEREZINHA DE GOIÁS,GO
PILAR DE GOIÁS,GO,SÃO LUÍZ DO NORTE,GO
PILAR DE GOIÁS,GO,URUAÇU,GO
PIRACANJUBA,GO,PONTALINA,GO
PIRACANJUBA,GO,PROFESSOR JAMIL,GO
PIRACANJUBA,GO,SANTA CRUZ DE GOIÁS,GO
PIRENÓPOLIS,GO,SÃO FRANCISCO DE GOIÁS,GO
PIRENÓPOLIS,GO,VILA PROPÍCIO,GO
PIRES DO RIO,GO,SANTA CRUZ DE GOIÁS,GO
PIRES DO RIO,GO,SÃO MIGUEL DO PASSA QUATRO,GO
PIRES DO RIO,GO,URUTAÍ,GO
PIRES DO RIO,GO,VIANÓPOLIS,GO
PONTALINA,GO,VICENTINÓPOLIS,GO
PORANGATU,GO,SANTA TEREZA DE GOIÁS,GO
PORANGATU,GO,TROMBAS,GO
PORANGATU,GO,ARAGUAÇU,TO
PORANGATU,GO,TALISMÃ,TO
PORTEIRÃO,GO,TURVELÂNDIA,GO
PORTEIRÃO,GO,VICENTINÓPOLIS,GO
POSSE,GO,SIMOLÂNDIA,GO
QUIRINÓPOLIS,GO,RIO VERDE,GO
QUIRINÓPOLIS,GO,SANTA VITÓRIA,MG
RIALMA,GO,RIANÁPOLIS,GO
RIALMA,GO,SANTA ISABEL,GO
RIALMA,GO,URUANA,GO
RIANÁPOLIS,GO,SANTA ISABEL,GO
RIANÁPOLIS,GO,URUANA,GO
RIO VERDE,GO,SANTA HELENA DE GOIÁS,GO
RIO VERDE,GO,SANTO ANTÔNIO DA BARRA,GO
RUBIATABA,GO,SÃO PATRÍCIO,GO
SANCLERLÂNDIA,GO,SÃO LUÍS DE MONTES BELOS,GO
SANTA BÁRBARA DE GOIÁS,GO,TRINDADE,GO
SANTA HELENA DE GOIÁS,GO,SANTO ANTÔNIO DA BARRA,GO
SANTA HELENA DE GOIÁS,GO,TURVELÂNDIA,GO
SANTA ISABEL,GO,SÃO LUÍZ DO NORTE,GO
SANTA RITA DO ARAGUAIA,GO,ALTO ARAGUAIA,MT
SANTA RITA DO NOVO DESTINO,GO,SÃO LUÍZ DO NORTE,GO
SANTA RITA DO NOVO DESTINO,GO,URUAÇU,GO
SANTA ROSA DE GOIÁS,GO,TAQUARAL DE GOIÁS,GO
SANTA TEREZA DE GOIÁS,GO,TROMBAS,GO
SANTA TEREZINHA DE GOIÁS,GO,UIRAPURU,GO
SÃO LUÍS DE MONTES BELOS,GO,TURVÂNIA,GO
SÃO MIGUEL DO ARAGUAIA,GO,COCALINHO,MT
SÃO MIGUEL DO ARAGUAIA,GO,ARAGUAÇU,TO
SÃO MIGUEL DO ARAGUAIA,GO,FORMOSO DO ARAGUAIA,TO
SÃO MIGUEL DO ARAGUAIA,GO,SANDOLÂNDIA,TO
SÃO MIGUEL DO PASSA QUATRO,GO,SILVÂNIA,GO
SÃO MIGUEL DO PASSA QUATRO,GO,VIANÓPOLIS,GO
SÃO SIMÃO,GO,SANTA VITÓRIA,MG
SILVÂNIA,GO,VIANÓPOLIS,GO
SÍTIO D'ABADIA,GO,FORMOSO,MG
TRÊS RANCHOS,GO,DOURADOQUARA,MG
VILA BOA,GO,BURITIS,MG
AÇAILÂNDIA,MA,AMARANTE DO MARANHÃO,MA
AÇAILÂNDIA,MA,BOM JARDIM,MA
AÇAILÂNDIA,MA,BOM JESUS DAS SELVAS,MA
AÇAILÂNDIA,MA,CIDELÂNDIA,MA
AÇAILÂNDIA,MA,ITINGA DO MARANHÃO,MA
AÇAILÂNDIA,MA,JOÃO LISBOA,MA
AÇAILÂNDIA,MA,SÃO FRANCISCO DO BREJÃO,MA
AÇAILÂNDIA,MA,DOM ELISEU,PA
AÇAILÂNDIA,MA,RONDON DO PARÁ,PA
AFONSO CUNHA,MA,ALDEIAS ALTAS,MA
AFONSO CUNHA,MA,CHAPADINHA,MA
AFONSO CUNHA,MA,CODÓ,MA
AFONSO CUNHA,MA,COELHO NETO,MA
ÁGUA DOCE DO MARANHÃO,MA,ARAIOSES,MA
ÁGUA DOCE DO MARANHÃO,MA,SANTANA DO MARANHÃO,MA
ÁGUA DOCE DO MARANHÃO,MA,SÃO BERNARDO,MA
ÁGUA DOCE DO MARANHÃO,MA,TUTÓIA,MA
ALCÂNTARA,MA,BACURITUBA,MA
ALCÂNTARA,MA,BEQUIMÃO,MA
ALCÂNTARA,MA,GUIMARÃES,MA
ALCÂNTARA,MA,PERI MIRIM,MA
ALCÂNTARA,MA,SÃO LUÍS,MA
ALDEIAS ALTAS,MA,CAXIAS,MA
ALDEIAS ALTAS,MA,CHAPADINHA,MA
ALDEIAS ALTAS,MA,CODÓ,MA
ALDEIAS ALTAS,MA,COELHO NETO,MA
ALTAMIRA DO MARANHÃO,MA,BREJO DE AREIA,MA
ALTAMIRA DO MARANHÃO,MA,SANTA INÊS,MA
ALTAMIRA DO MARANHÃO,MA,SANTA LUZIA,MA
ALTAMIRA DO MARANHÃO,MA,VITORINO FREIRE,MA
ALTO ALEGRE DO MARANHÃO,MA,BACABAL,MA
ALTO ALEGRE DO MARANHÃO,MA,COROATÁ,MA
ALTO ALEGRE DO MARANHÃO,MA,PERITORÓ,MA
ALTO ALEGRE DO MARANHÃO,MA,SÃO LUÍS GONZAGA DO MARANHÃO,MA
ALTO ALEGRE DO MARANHÃO,MA,SÃO MATEUS DO MARANHÃO,MA
ALTO ALEGRE DO PINDARÉ,MA,BOM JARDIM,MA
ALTO ALEGRE DO PINDARÉ,MA,BURITICUPU,MA
ALTO ALEGRE DO PINDARÉ,MA,SANTA LUZIA,MA
ALTO ALEGRE DO PINDARÉ,MA,TUFILÂNDIA,MA
ALTO PARNAÍBA,MA,BALSAS,MA
ALTO PARNAÍBA,MA,TASSO FRAGOSO,MA
ALTO PARNAÍBA,MA,BARREIRAS DO PIAUÍ,PI
ALTO PARNAÍBA,MA,GILBUÉS,PI
ALTO PARNAÍBA,MA,SANTA FILOMENA,PI
ALTO PARNAÍBA,MA,LIZARDA,TO
ALTO PARNAÍBA,MA,MATEIROS,TO
ALTO PARNAÍBA,MA,SÃO FÉLIX DO TOCANTINS,TO
AMAPÁ DO MARANHÃO,MA,CÂNDIDO MENDES,MA
AMAPÁ DO MARANHÃO,MA,CARUTAPERA,MA
AMAPÁ DO MARANHÃO,MA,GODOFREDO VIANA,MA
AMAPÁ DO MARANHÃO,MA,JUNCO DO MARANHÃO,MA
AMAPÁ DO MARANHÃO,MA,LUÍS DOMINGUES,MA
AMAPÁ DO MARANHÃO,MA,MARACAÇUMÉ,MA
AMARANTE DO MARANHÃO,MA,ARAME,MA
AMARANTE DO MARANHÃO,MA,BOM JESUS DAS SELVAS,MA
AMARANTE DO MARANHÃO,MA,BURITICUPU,MA
AMARANTE DO MARANHÃO,MA,BURITIRANA,MA
AMARANTE DO MARANHÃO,MA,GRAJAÚ,MA
AMARANTE DO MARANHÃO,MA,JOÃO LISBOA,MA
AMARANTE DO MARANHÃO,MA,MONTES ALTOS,MA
AMARANTE DO MARANHÃO,MA,SANTA LUZIA,MA
AMARANTE DO MARANHÃO,MA,SENADOR LA ROCQUE,MA
AMARANTE DO MARANHÃO,MA,SÍTIO NOVO,MA
ANAJATUBA,MA,ARARI,MA
ANAJATUBA,MA,CAJAPIÓ,MA
ANAJATUBA,MA,ITAPECURU MIRIM,MA
ANAJATUBA,MA,MIRANDA DO NORTE,MA
ANAJATUBA,MA,SANTA RITA,MA
ANAJATUBA,MA,SÃO JOÃO BATISTA,MA
ANAJATUBA,MA,VIANA,MA
ANAPURUS,MA,BREJO,MA
ANAPURUS,MA,BURITI,MA
ANAPURUS,MA,MATA ROMA,MA
ANAPURUS,MA,MILAGRES DO MARANHÃO,MA
ANAPURUS,MA,SANTA QUITÉRIA DO MARANHÃO,MA
ANAPURUS,MA,URBANO SANTOS,MA
APICUM-AÇU,MA,BACURI,MA
APICUM-AÇU,MA,SERRANO DO MARANHÃO,MA
ARAGUANÃ,MA,NOVA OLINDA DO MARANHÃO,MA
ARAGUANÃ,MA,PEDRO DO ROSÁRIO,MA
ARAGUANÃ,MA,SANTA HELENA,MA
ARAGUANÃ,MA,ZÉ DOCA,MA
ARAIOSES,MA,MAGALHÃES DE ALMEIDA,MA
ARAIOSES,MA,SANTANA DO MARANHÃO,MA
ARAIOSES,MA,SÃO BERNARDO,MA
ARAIOSES,MA,TUTÓIA,MA
ARAIOSES,MA,BURITI DOS LOPES,PI
ARAIOSES,MA,ILHA GRANDE,PI
ARAIOSES,MA,PARNAÍBA,PI
ARAME,MA,GRAJAÚ,MA
ARAME,MA,ITAIPAVA DO GRAJAÚ,MA
ARAME,MA,MARAJÁ DO SENA,MA
ARAME,MA,SANTA LUZIA,MA
ARARI,MA,CAJARI,MA
ARARI,MA,CONCEIÇÃO DO LAGO-AÇU,MA
ARARI,MA,MATÕES DO NORTE,MA
ARARI,MA,MIRANDA DO NORTE,MA
ARARI,MA,VIANA,MA
ARARI,MA,VITÓRIA DO MEARIM,MA
AXIXÁ,MA,CACHOEIRA GRANDE,MA
AXIXÁ,MA,ICATU,MA
AXIXÁ,MA,MORROS,MA
AXIXÁ,MA,PRESIDENTE JUSCELINO,MA
AXIXÁ,MA,ROSÁRIO,MA
AXIXÁ,MA,SÃO JOSÉ DE RIBAMAR,MA
AXIXÁ,MA,SÃO LUÍS,MA
BACABAL,MA,BOM LUGAR,MA
BACABAL,MA,LAGO DO JUNCO,MA
BACABAL,MA,LAGO VERDE,MA
BACABAL,MA,OLHO D'ÁGUA DAS CUNHÃS,MA
BACABAL,MA,SÃO LUÍS GONZAGA DO MARANHÃO,MA
BACABAL,MA,SÃO MATEUS DO MARANHÃO,MA
BACABEIRA,MA,CAJAPIÓ,MA
BACABEIRA,MA,ROSÁRIO,MA
BACABEIRA,MA,SANTA RITA,MA
BACABEIRA,MA,SÃO LUÍS,MA
BACURI,MA,SERRANO DO MARANHÃO,MA
BACURI,MA,TURIAÇU,MA
BACURI,MA,TURILÂNDIA,MA
BACURITUBA,MA,CAJAPIÓ,MA
BACURITUBA,MA,PERI MIRIM,MA
BACURITUBA,MA,SÃO BENTO,MA
BACURITUBA,MA,SÃO LUÍS,MA
BALSAS,MA,FORTALEZA DOS NOGUEIRAS,MA
BALSAS,MA,NOVA COLINAS,MA
BALSAS,MA,RIACHÃO,MA
BALSAS,MA,SAMBAÍBA,MA
BALSAS,MA,SÃO RAIMUNDO DAS MANGABEIRAS,MA
BALSAS,MA,TASSO FRAGOSO,MA
BALSAS,MA,CAMPOS LINDOS,TO
BALSAS,MA,LIZARDA,TO
BALSAS,MA,RECURSOLÂNDIA,TO
BARÃO DE GRAJAÚ,MA,SÃO FRANCISCO DO MARANHÃO,MA
BARÃO DE GRAJAÚ,MA,SÃO JOÃO DOS PATOS,MA
BARÃO DE GRAJAÚ,MA,SUCUPIRA DO RIACHÃO,MA
BARÃO DE GRAJAÚ,MA,AMARANTE,PI
BARÃO DE GRAJAÚ,MA,FLORIANO,PI
BARRA DO CORDA,MA,FERNANDO FALCÃO,MA
BARRA DO CORDA,MA,GRAJAÚ,MA
BARRA DO CORDA,MA,JENIPAPO DOS VIEIRAS,MA
BARRA DO CORDA,MA,JOSELÂNDIA,MA
BARRA DO CORDA,MA,LAGOA GRANDE DO MARANHÃO,MA
BARRA DO CORDA,MA,SÃO RAIMUNDO DO DOCA BEZERRA,MA
BARRA DO CORDA,MA,SÃO ROBERTO,MA
BARRA DO CORDA,MA,TUNTUM,MA
BARREIRINHAS,MA,PAULINO NEVES,MA
BARREIRINHAS,MA,PRIMEIRA CRUZ,MA
BARREIRINHAS,MA,SANTA QUITÉRIA DO MARANHÃO,MA
BARREIRINHAS,MA,SANTANA DO MARANHÃO,MA
BARREIRINHAS,MA,SANTO AMARO DO MARANHÃO,MA
BARREIRINHAS,MA,URBANO SANTOS,MA
BELA VISTA DO MARANHÃO,MA,IGARAPÉ DO MEIO,MA
BELA VISTA DO MARANHÃO,MA,MONÇÃO,MA
BELA VISTA DO MARANHÃO,MA,PIO XII,MA
BELA VISTA DO MARANHÃO,MA,SANTA INÊS,MA
BELA VISTA DO MARANHÃO,MA,SATUBINHA,MA
BELÁGUA,MA,HUMBERTO DE CAMPOS,MA
BELÁGUA,MA,MORROS,MA
BELÁGUA,MA,PRIMEIRA CRUZ,MA
BELÁGUA,MA,SÃO BENEDITO DO RIO PRETO,MA
BELÁGUA,MA,URBANO SANTOS,MA
BENEDITO LEITE,MA,NOVA IORQUE,MA
BENEDITO LEITE,MA,PASTOS BONS,MA
BENEDITO LEITE,MA,SÃO DOMINGOS DO AZEITÃO,MA
BENEDITO LEITE,MA,SÃO FÉLIX DE BALSAS,MA
BENEDITO LEITE,MA,ANTÔNIO ALMEIDA,PI
BENEDITO LEITE,MA,URUÇUÍ,PI
BEQUIMÃO,MA,CENTRAL DO MARANHÃO,MA
BEQUIMÃO,MA,GUIMARÃES,MA
BEQUIMÃO,MA,PERI MIRIM,MA
BEQUIMÃO,MA,PINHEIRO,MA
BERNARDO DO MEARIM,MA,IGARAPÉ GRANDE,MA
BERNARDO DO MEARIM,MA,PEDREIRAS,MA
BERNARDO DO MEARIM,MA,POÇÃO DE PEDRAS,MA
BERNARDO DO MEARIM,MA,TRIZIDELA DO VALE,MA
BOA VISTA DO GURUPI,MA,CARUTAPERA,MA
BOA VISTA DO GURUPI,MA,JUNCO DO MARANHÃO,MA
BOA VISTA DO GURUPI,MA,CACHOEIRA DO PIRIÁ,PA
BOA VISTA DO GURUPI,MA,VISEU,PA
BOM JARDIM,MA,BOM JESUS DAS SELVAS,MA
BOM JARDIM,MA,BURITICUPU,MA
BOM JARDIM,MA,CENTRO NOVO DO MARANHÃO,MA
BOM JARDIM,MA,GOVERNADOR NEWTON BELLO,MA
BOM JARDIM,MA,ITINGA DO MARANHÃO,MA
BOM JARDIM,MA,MONÇÃO,MA
BOM JARDIM,MA,PINDARÉ-MIRIM,MA
BOM JARDIM,MA,SÃO JOÃO DO CARÚ,MA
BOM JARDIM,MA,TUFILÂNDIA,MA
BOM JESUS DAS SELVAS,MA,BURITICUPU,MA
BOM LUGAR,MA,LAGO DA PEDRA,MA
BOM LUGAR,MA,LAGO DO JUNCO,MA
BOM LUGAR,MA,LAGO VERDE,MA
BOM LUGAR,MA,OLHO D'ÁGUA DAS CUNHÃS,MA
BOM LUGAR,MA,PAULO RAMOS,MA
BOM LUGAR,MA,SÃO LUÍS GONZAGA DO MARANHÃO,MA
BOM LUGAR,MA,VITORINO FREIRE,MA
BREJO,MA,BURITI,MA
BREJO,MA,MILAGRES DO MARANHÃO,MA
BREJO,MA,CAMPO LARGO DO PIAUÍ,PI
BREJO DE AREIA,MA,PAULO RAMOS,MA
BREJO DE AREIA,MA,SANTA LUZIA,MA
BREJO DE AREIA,MA,VITORINO FREIRE,MA
BURITI,MA,CHAPADINHA,MA
BURITI,MA,COELHO NETO,MA
BURITI,MA,DUQUE BACELAR,MA
BURITI,MA,MATA ROMA,MA
BURITI,MA,MIGUEL ALVES,PI
BURITI BRAVO,MA,COLINAS,MA
BURITI BRAVO,MA,FORTUNA,MA
BURITI BRAVO,MA,LAGOA DO MATO,MA
BURITI BRAVO,MA,PARNARAMA,MA
BURITI BRAVO,MA,PASSAGEM FRANCA,MA
BURITICUPU,MA,SANTA LUZIA,MA
BURITIRANA,MA,DAVINÓPOLIS,MA
BURITIRANA,MA,GOVERNADOR EDISON LOBÃO,MA
BURITIRANA,MA,MONTES ALTOS,MA
BURITIRANA,MA,SENADOR LA ROCQUE,MA
CACHOEIRA GRANDE,MA,MORROS,MA
